Source File,Record ID,Indication,Intervention,Comparator,Intervention Type,Outcome Direction,Intervention Cluster,Cluster X,Cluster Y
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-1,depression,Exercise,Usual care,Behavioral,Positive,5,0.666918662504355,-0.00356401337640707
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-2,depression || cancer,Vitamin D|||,Placebo,Dietary Supplement,Neutral,4,0.0035917970130021795,0.265471342465781
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-3,major depressive disorder,iTBS,rTMS,Device,Positive,0,0.00034084929074933385,0.0033909246939014983
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-4,depression,CBT,Usual care,Behavioral,Positive,5,0.7143227034202324,-0.0011739776810850851
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-5,major depressive disorder || insomnia,CBT-I + Antidepressant,CBT-I + Placebo,Combination Product,Neutral,3,0.06006189237917853,0.17208877589496463
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-6,major depressive disorder || insomnia,CBT-I + Placebo,Antidepressant + Sleep hygiene control,Combination Product,Neutral,4,0.03460801815892774,0.16709359090044257
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-7,treatment-resistant depression,Esketamine + Antidepressant,Antidepressant + Placebo,Combination Product,Positive,4,0.003065732943136816,0.15016323248318855
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-8,treatment-resistant depression,TMS,Sham,Device,Neutral,4,0.000336905883341289,0.0011803594332608783
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-9,treatment-resistant depression,MBCT + Usual care,Usual care,Combination Product,Positive,5,0.6706503367309821,-0.013770984142282365
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-10,,Rosemary|||500 mg,Placebo,Dietary Supplement,Positive,1,0.0034179943369970394,0.28519225231963613
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-11,major depressive disorder || cancer || alcohol use,BA,CBT,Behavioral,Neutral,3,0.04490526594038557,0.008395602590711416
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-12,depression || anxiety,Chamomile Extract|||1500 mg,,Dietary Supplement,Positive,1,0.0006563411534037814,0.04605898700698935
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-13,major depressive disorder,Ketamine||IV|0.5 mg/kg,Placebo,Drug,Neutral,1,0.004204263704644687,0.2530033476586775
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-14,major depressive disorder,Ketamine|||0.5 mg/kg,Placebo,Drug,Positive,1,0.004052667461384826,0.2810520332918869
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-15,,Exercise,Education,Behavioral,Positive,4,0.06154886834207579,0.008497747781419429
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-16,major depressive disorder,Sertraline|||,Placebo,Drug,Neutral,4,0.00460411379473911,0.33010815452250775
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-17,major depressive disorder,Bupropion|SR||,Aripiprazole|||,Drug,Positive,4,0.000671231103602434,0.009350044550566093
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-18,major depressive disorder,Bupropion|SR||,Bupropion|SR,Drug,Positive,4,0.00021091758653497621,0.006272796613714056
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-19,major depressive disorder,Aripiprazole|||,Bupropion|SR||,Drug,Positive,4,0.0005819391954780044,0.00813037019088771
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-20,,Personalized depression risk information,Control,Behavioral,Positive,4,0.008580060767052243,0.004221816187706827
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-21,,Mindful self-compassion intervention,Control,Behavioral,Positive,4,0.017955203178102657,0.006441638641718996
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-22,depression,ECT,,Procedure,Neutral,4,5.8507694273821255e-05,0.001583301730431491
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-23,major depressive disorder,CBT,Standard home visiting,Behavioral,Neutral,4,0.04424485593629818,0.006070347658077705
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-24,depressive episode,Duloxetine + Aspirin,Escitalopram + Placebo,Combination Product,Positive,4,0.004168438700429946,0.23137383285232077
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-25,,Saffron|||,Placebo,Dietary Supplement,Positive,4,0.0028419807804216557,0.22916004838647033
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-26,depression,Bright light therapy,Wake therapy + Bright light therapy,Behavioral,Positive,4,0.01084976649129195,0.009066618421907272
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-27,depression,Wake therapy + Bright light therapy,Bright light therapy,Combination Product,Neutral,4,0.009826197466173905,0.0082131743856446
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-28,bipolar depression,Pioglitazone|||,Placebo,Drug,Negative,4,0.0037331206327528912,0.3006067234506261
